height, pitch, TarYaw, CamYaw, dist, output yaw, pitch, area, number of tags, relx, rely, relPitch, x,y,heading, dx,dy,dhead, areadist
18.175 ,17.000 ,0.000 ,0.000 ,58.000 ,-11.003 ,4.944 ,5.288 ,2.000 ,64.058 ,12.456 ,181.692 ,541.021 ,155.535 ,178.414 ,48.692 ,-2.786 ,178.414 ,68.313
18.175 ,17.000 ,0.000 ,10.000 ,58.000 ,-8.692 ,4.948 ,5.341 ,1.000 ,63.431 ,9.688 ,168.748 ,540.323 ,158.642 ,169.148 ,57.764 ,-23.435 ,79.148 ,67.971
18.175 ,17.000 ,0.000 ,-10.000 ,58.000 ,-1.969 ,4.736 ,4.876 ,1.000 ,64.949 ,2.231 ,189.063 ,539.654 ,154.503 ,188.827 ,47.325 ,-3.818 ,188.827 ,71.137
18.175 ,17.000 ,0.000 ,12.000 ,58.000 ,-10.906 ,5.288 ,5.649 ,1.000 ,62.117 ,11.959 ,167.158 ,539.256 ,159.874 ,167.619 ,56.697 ,-22.203 ,77.619 ,66.092
18.175 ,17.000 ,0.000 ,-10.000 ,58.000 ,9.219 ,4.916 ,5.372 ,2.000 ,63.701 ,-10.345 ,187.748 ,540.976 ,154.949 ,172.409 ,58.417 ,-27.128 ,82.409 ,67.777
18.175 ,17.000 ,-10.000 ,0.000 ,58.000 ,0.307 ,4.694 ,5.042 ,1.000 ,64.198 ,-0.346 ,168.790 ,539.360 ,148.593 ,169.172 ,56.801 ,-33.484 ,79.172 ,69.960
18.175 ,17.000 ,-10.000 ,-10.000 ,58.000 ,9.771 ,4.971 ,5.324 ,1.000 ,63.471 ,-10.932 ,179.762 ,539.958 ,147.460 ,179.838 ,57.399 ,-34.617 ,89.838 ,68.079
18.175 ,17.000 ,-10.000 ,-10.000 ,58.000 ,9.770 ,4.973 ,5.324 ,2.000 ,63.415 ,-10.935 ,181.934 ,539.190 ,145.867 ,178.151 ,56.631 ,-36.210 ,88.151 ,68.079
18.175 ,17.000 ,-10.000 ,10.000 ,58.000 ,-8.423 ,4.800 ,5.198 ,1.000 ,63.606 ,9.412 ,158.645 ,539.502 ,149.591 ,159.329 ,56.943 ,-32.486 ,69.329 ,68.901
18.175 ,17.000 ,-10.000 ,12.000 ,58.000 ,-11.024 ,4.924 ,5.340 ,1.000 ,62.963 ,12.259 ,155.438 ,539.566 ,149.737 ,156.222 ,57.007 ,-32.340 ,66.222 ,67.979
18.175 ,17.000 ,-10.000 ,-10.000 ,58.000 ,-3.026 ,5.406 ,5.410 ,2.000 ,62.622 ,3.306 ,183.885 ,538.789 ,144.573 ,176.274 ,46.460 ,-13.748 ,176.274 ,67.536
18.175 ,17.000 ,-10.000 ,0.000 ,70.000 ,-11.416 ,2.130 ,4.243 ,2.000 ,72.694 ,14.689 ,193.950 ,550.730 ,144.694 ,166.497 ,58.401 ,-13.627 ,166.497 ,76.262
18.175 ,17.000 ,-10.000 ,0.000 ,70.000 ,-1.353 ,1.858 ,3.900 ,2.000 ,74.307 ,1.749 ,183.299 ,550.685 ,142.779 ,176.839 ,58.356 ,-15.542 ,176.839 ,79.547
18.175 ,17.000 ,-10.000 ,10.000 ,70.000 ,-9.467 ,1.614 ,3.854 ,1.000 ,74.808 ,12.473 ,158.219 ,551.291 ,147.820 ,158.942 ,68.732 ,-34.257 ,68.942 ,80.022
18.175 ,17.000 ,-10.000 ,0.000 ,82.000 ,-8.454 ,-0.314 ,3.068 ,2.000 ,84.360 ,12.527 ,192.803 ,561.787 ,141.212 ,167.638 ,69.458 ,-17.109 ,167.638 ,89.688
18.175 ,17.000 ,-10.000 ,-10.000 ,82.000 ,0.305 ,-0.722 ,2.904 ,2.000 ,86.078 ,-0.479 ,184.922 ,561.633 ,137.814 ,175.256 ,69.304 ,-20.507 ,175.256 ,92.187
18.175 ,17.000 ,-10.000 ,10.000 ,82.000 ,-9.324 ,-0.753 ,2.923 ,1.000 ,86.496 ,14.198 ,157.514 ,563.554 ,143.956 ,158.284 ,80.995 ,-38.121 ,68.284 ,91.878
18.175 ,17.000 ,-10.000 ,12.000 ,82.000 ,-12.143 ,-0.605 ,3.049 ,1.000 ,85.073 ,18.294 ,156.228 ,562.735 ,146.770 ,157.021 ,80.176 ,-35.307 ,67.021 ,89.965
18.175 ,17.000 ,-10.000 ,0.000 ,118.000 ,-7.673 ,-4.895 ,1.642 ,2.000 ,119.039 ,16.007 ,193.642 ,596.805 ,134.871 ,166.773 ,104.476 ,-23.450 ,166.773 ,122.592
18.175 ,17.000 ,-10.000 ,10.000 ,118.000 ,-10.664 ,-4.921 ,1.603 ,1.000 ,119.920 ,22.579 ,158.669 ,598.297 ,140.634 ,159.407 ,115.738 ,-41.443 ,69.407 ,124.077
